"filename", "language", "Batch", "JSON", "CSS", "XML", "HTML", "JavaScript", "Markdown", "C#", "Properties", "Shell Script", "comment", "blank", "total"
"z:\mDB\FTP\AI\Modules\GetPrompts.js", "JavaScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 10, 65
"z:\mDB\FTP\AI\Modules\GetRandomGarlicBread.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 1, 16
"z:\mDB\FTP\AI\Modules\GetRandomMashedPotato.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 1, 16
"z:\mDB\FTP\AI\Modules\GetSDFiles.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\Modules\GetWDFiles.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 3, 20
"z:\mDB\FTP\AI\PromptResponseGenerator\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 22, 34, 202
"z:\mDB\FTP\AI\PromptResponseGenerator\PromptResponseGenerator.csproj", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"z:\mDB\FTP\AI\PromptResponseGenerator\bin\Debug\net6.0\PromptResponseGenerator.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"z:\mDB\FTP\AI\PromptResponseGenerator\bin\Debug\net6.0\PromptResponseGenerator.runtimeconfig.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 5
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\Debug\net6.0\PromptResponseGenerator.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 5, 23
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\Debug\net6.0\PromptResponseGenerator.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"z:\mDB\FTP\AI\PromptResponseGenerator\obj\Debug\net6.0\PromptResponseGenerator.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 1, 9
